From,To,Date,Bus_Count
Mumbai (All Locations),Pune (All Locations),27/07/2022,681
Chandigarh,Shimla,28/07/2022,19
Mysuru,Bangalore (All Locations),29/07/2022,46
Mysuru,Pune (All Locations),30/07/2022,1
Ongole,Hyderabad (All Locations),04/08/2022,123
Hyderabad (All Locations),Ongole,04/08/2022,149
